image,at_edge_y_channel_srec_better,at_edge_y_channel_flif_scanline_better,not_at_edge_y_channel_srec_better,not_at_edge_y_channel_flif_scanline_better,at_edge_co_channel_srec_better,at_edge_co_channel_flif_scanline_better,not_at_edge_co_channel_srec_better,not_at_edge_co_channel_flif_scanline_better,at_edge_cg_channel_srec_better,at_edge_cg_channel_flif_scanline_better,not_at_edge_cg_channel_srec_better,not_at_edge_cg_channel_flif_scanline_better
kodim19,0.8353790613718411,0.09559566787003611,0.7682001022759024,0.08423527675121123,0.22288808664259926,0.655956678700361,0.2308008624916308,0.57556027688301,0.23184115523465704,0.5743682310469314,0.28442981184397126,0.4452692123173927
kodim17,0.845360824742268,0.06423847500486286,0.7461036033618497,0.07369073559245623,0.2511670881151527,0.5772709589574013,0.24292637635112652,0.5132080332320771,0.30120599105232443,0.4537055047656098,0.30017818232560134,0.37938881315543727
kodim10,0.8255869669381888,0.0894825107810254,0.7399952193774567,0.0771220652289387,0.2703042644944897,0.5667824628653569,0.24187028577499203,0.5163922235206629,0.3347508385241974,0.43842836607570673,0.3205805800488686,0.36307234675448846
kodim22,0.8228921037537442,0.10050347332865975,0.7775643997086286,0.07966624726839282,0.2750621375310688,0.6032757631763431,0.2754466591616449,0.5335169856300908,0.31387419539863615,0.5120769868077242,0.32675187073703726,0.41343222303158733
kodim01,0.8199862746133136,0.11180911154516181,0.7874848732164467,0.09154307263670391,0.10294040014781186,0.7977353111967481,0.12980046717136184,0.7234317395097515,0.1768463284590614,0.6601647046402365,0.19392958658148762,0.5862691019615569
kodim06,0.8147821830641214,0.11904062652961331,0.7486386291330683,0.08619690653618967,0.20651003426333822,0.6838472834067548,0.19822632824194042,0.612370099735505,0.20802741067058247,0.6135095447870779,0.2260653565316294,0.49734432087041897
kodim08,0.7995998999749937,0.1328332083020755,0.772584690821174,0.11498870411577856,0.17876969242310578,0.7191297824456114,0.1872936873276599,0.6684955241120416,0.2153538384596149,0.6275818954738684,0.2185909304524582,0.5642506497256714
kodim23,0.8295431052305148,0.09282613189993798,0.6847907139244203,0.08130530685035797,0.35321480256357246,0.5083729584453174,0.31079516715248917,0.4144500471917026,0.3578664461443043,0.44635104403555925,0.34215288025822466,0.3110350365800877
kodim24,0.8407714810531328,0.08197836587522961,0.71009405801802,0.08914897008944032,0.2393360092523301,0.6321178311449759,0.2149041553743905,0.5451956747604572,0.2702904959521056,0.5479964623443772,0.2534206663771446,0.43664964350307023
kodim11,0.8131524561496476,0.10174341582322081,0.7490202887710534,0.07639744086337469,0.20724921837740448,0.6733612421175349,0.19014278272716345,0.5841269417248794,0.21795347358380585,0.5960998357267765,0.23756695027314376,0.4498978215282694
kodim16,0.8563632619439868,0.07228171334431631,0.7254604906337352,0.08109172264174559,0.2297158154859967,0.6305601317957167,0.2053720430556135,0.5598924652676374,0.24227759472817134,0.5363467874794069,0.2520651675080312,0.42282218699153074
kodim18,0.8861691542288557,0.060033167495854065,0.8282102978521811,0.06542336655043436,0.265240464344942,0.6246102819237147,0.24165578710206959,0.5935339580131436,0.3035157545605307,0.5247761194029851,0.308395718684757,0.45483465816132607
kodim09,0.8126010738081376,0.10246458373762857,0.7448783212488451,0.07490000185304309,0.22491752377255966,0.6209327899605408,0.22929290522743456,0.5320642635344944,0.3011190892037001,0.48224335338637686,0.3183872171792978,0.3719375153868757
kodim07,0.7851186885711244,0.07884185501898308,0.6719173335013546,0.08335136823246117,0.33665684987403754,0.46215803853386794,0.28140743439634225,0.4285776902362252,0.38409679594081536,0.36043004648192173,0.312514211043933,0.31393600030682156
