image,flif_scanline_mse,srec_mse,flif_scanline_y_channel_mse,srec_y_channel_mse,flif_scanline_co_channel_mse,srec_co_channel_mse,flif_scanline_cg_channel_mse,srec_cg_channel_mse,flif_scanline_entropy,srec_entropy
output_kodim24,15.410864935980904,13.39787122938368,35.66155497233073,5.782844543457031,6.6613210042317705,22.402318318684895,3.9097188313802085,12.008450826009115,2.683033117936052,2.5391572322684732
output_kodim23,6.574850294325087,3.4496756659613714,12.784255981445312,1.1004740397135417,4.3376007080078125,6.2052663167317705,2.6026941935221353,3.0432866414388022,2.1989819444000758,1.7419364124061132
output_kodim16,9.922295464409721,8.032381693522135,25.694684346516926,2.046788533528646,2.4241943359375,15.607752482096354,1.6480077107747395,6.442604064941406,2.2934729879759344,2.1867470081375098
output_kodim11,12.089384290907118,10.039264255099827,30.283701578776043,2.8351211547851562,3.7891362508138022,18.7550048828125,2.1953150431315103,8.527666727701822,2.4732510242489067,2.3795887087011547
output_kodim18,18.319807264539932,13.456748114691841,43.84278361002604,4.414187113444011,6.962717692057292,24.432891845703125,4.153920491536458,11.523165384928385,3.115980195409612,2.7438298764368865
output_kodim09,7.9729359944661455,5.309740702311198,18.7978032430013,1.3305104573567708,2.7165629069010415,10.264348347981771,2.4044418334960938,4.334363301595052,2.3212617529628443,2.015456313470539
output_kodim07,7.797684563530816,3.9479327731662326,16.412925720214844,1.1422653198242188,4.220774332682292,7.2422434488932295,2.7593536376953125,3.45928955078125,2.167839983978933,1.728746428622451
output_kodim19,12.792833116319445,10.879344516330296,32.134752909342446,3.1287104288736978,3.8139419555664062,20.299484252929688,2.429804484049479,9.2098388671875,2.642065684141273,2.4787437120961484
output_kodim10,7.989393446180555,4.901665581597222,18.395785013834637,1.3326365152994792,3.0626017252604165,9.381866455078125,2.5097935994466147,3.9904937744140625,2.3488885271627438,1.9819502301023386
output_kodim17,9.449680752224392,5.54705810546875,22.877901713053387,1.6192576090494792,3.2775802612304688,10.585973103841146,2.1935602823893228,4.435943603515625,2.3830012114602765,2.005608022381785
output_kodim22,14.038324991861979,10.068242390950521,31.68060557047526,2.9652023315429688,6.5052439371744795,18.14916483561198,3.9291254679361978,9.090360005696615,2.8038879107790993,2.4719907093676974
output_kodim06,14.91742197672526,13.337133619520399,38.94763437906901,4.003857930501302,3.7096837361653647,24.415613810221355,2.0949478149414062,11.591929117838541,2.662677829542528,2.6476814653333336
output_kodim01,18.76562754313151,19.520604451497395,51.771507263183594,5.72552490234375,2.2933680216471353,35.82415262858073,2.2320073445638022,17.012135823567707,2.8215182871862154,3.098144724211328
output_kodim08,18.341623942057293,20.638384501139324,46.201866149902344,7.780799865722656,5.638552347819011,34.75929260253906,3.184453328450521,19.37506103515625,2.998085140084975,3.18602729382124
output_kodim02,9.09519788953993,6.412699381510417,20.897430419921875,1.8354034423828125,4.007047017415364,11.971104939778646,2.3811162312825522,5.431589762369792,2.365120307099377,2.1555307222994773
output_kodim05,19.840924580891926,13.474920484754774,47.70858510335287,4.117510477701823,7.158592224121094,24.34106953938802,4.655596415201823,11.966181437174479,3.0661610351610213,2.6713273298434737
output_kodim14,17.767525566948784,11.79701656765408,40.47535705566406,3.3081080118815103,8.909772237141928,22.179484049479168,3.9174474080403647,9.903457641601562,2.846261717716862,2.6263985659135414
output_kodim13,26.63639916314019,28.627254909939236,69.69698333740234,10.778879801432291,6.016365051269531,48.79942321777344,4.195849100748698,26.30346171061198,3.429789750603126,3.637121296601607
output_kodim21,13.434972127278646,12.079138014051649,33.38517761230469,3.754908243815104,4.5708872477213545,22.089584350585938,2.348851521809896,10.392921447753906,2.7030848361376174,2.558632063018643
output_kodim04,10.897429572211372,6.343925476074219,24.625228881835938,1.621838887532552,4.842631022135417,12.191782633463541,3.2244288126627603,5.2181549072265625,2.5083122290014876,2.1154936628039893
output_kodim03,7.58309088812934,4.4652048746744795,16.564158121744793,1.3453292846679688,3.6500701904296875,8.130172729492188,2.5350443522135415,3.9201126098632812,2.0688492570289836,1.7284003184339203
output_kodim20,9.610219319661459,7.159596761067708,20.960177103678387,2.0398763020833335,6.207394917805989,13.521189371744791,1.6630859375,5.917724609375,2.2476841732709953,2.114254733945518
output_kodim12,7.362844679090712,5.319116380479601,17.610379536946613,1.2890218098958333,2.2830785115559897,10.26666259765625,2.1950759887695312,4.401664733886719,2.1743399020958334,1.9731114226711195
output_kodim15,10.508587307400173,7.350118849012587,22.301254272460938,2.1647669474283853,5.457644144694011,13.223256429036459,3.7668635050455728,6.662333170572917,2.3728114513720553,2.111536940743991
